segment,sub_sector,organisatie,url_homepage,url_support,url_product,url_support_method,url_support_score,url_support_note
Culturele sector,Musea,Rijksmuseum,https://www.rijksmuseum.nl,https://www.rijksmuseum.nl/nl/footer/contact,,llm,0,Enige link gericht op bezoekersvragen/hulp; geen aparte FAQ- of supportpagina aanwezig in de lijst.
Culturele sector,Musea,Van Gogh Museum,https://www.vangoghmuseum.nl,,,none,0,llm: no pick
Culturele sector,Musea,Anne Frank Huis,https://www.annefrank.org,https://www.annefrank.org/nl/museum/veelgestelde-vragen/,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Culturele sector,Musea,Stedelijk Museum Amsterdam,https://www.stedelijk.nl,https://www.stedelijk.nl/nl/bezoeken/faq,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Culturele sector,Musea,NEMO,https://www.nemosciencemuseum.nl,,,none,0,llm: no pick
Culturele sector,Musea,Het Scheepvaartmuseum,https://www.hetscheepvaartmuseum.nl,https://www.hetscheepvaartmuseum.nl/bezoek/veelgestelde-vragen,,heuristic,7,"linktekst: ""veelgestelde vragen"""
Culturele sector,Musea,Wereld Museum Amsterdam,https://amsterdam.wereldmuseum.nl/,https://amsterdam.wereldmuseum.nl/nl/over-wereldmuseum-amsterdam/contact,,llm,0,Geen aparte FAQ/support-pagina aanwezig; Contact is de enige hulp-/klantenservicesectie.
Culturele sector,Musea,Eye Filmmuseum,https://www.eyefilm.nl,https://www.eyefilm.nl/plan-je-bezoek,,llm,0,Praktische informatie is de dichtstbijzijnde hulp-/bezoekersinformatiesectie; er is geen aparte support/FAQ-pagina.
Culturele sector,Musea,Moco Amsterdam,https://www.mocomuseum.com,https://www.mocomuseum.com/contact/,,llm,0,Geen aparte support/FAQ-pagina aanwezig; de contactpagina is de enige hulp-/klantenservice-ingang.
Culturele sector,Musea,Hermitage Amsterdam,https://www.hartmuseum.nl,https://www.hartmuseum.nl/veelgestelde-vragen/,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Culturele sector,Musea,Mauritshuis,https://www.mauritshuis.nl,https://www.mauritshuis.nl/contact,,llm,0,Geen aparte support/FAQ-pagina aanwezig; contact is de dichtstbijzijnde hulp-/klantenservice-ingang.
Culturele sector,Musea,Kunstmuseum Den Haag,https://www.kunstmuseum.nl,https://www.kunstmuseum.nl/nl/bezoek/veelgestelde-vragen,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Culturele sector,Musea,Escher in Het Paleis,https://www.escherinhetpaleis.nl,https://escherinhetpaleis.nl/bezoek/bezoekersinformatie,,llm,0,Bezoekersinformatie is de meest hulp-/FAQ-achtige pagina met praktische bezoekersvragen; een echte support/veelgestelde-vragensectie ontbreekt.
Culturele sector,Musea,Museum Boijmans Van Beuningen,https://www.boijmans.nl,https://www.boijmans.nl/Depot/Praktische-informatie,,llm,0,Praktische-informatiepagina is de meest support/FAQ-achtige sectie met bezoek- en instructie-info; geen aparte hulp/FAQ aanwezig.
Culturele sector,Musea,Kunsthal Rotterdam,https://www.kunsthal.nl,https://www.kunsthal.nl/nl/plan-je-bezoek/praktische-informatie/veelgestelde-vragen/,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Culturele sector,Musea,Maritiem Museum Rotterdam,https://www.maritiemmuseum.nl,https://maritiemmuseum.nl/plan-je-bezoek/veelgestelde-vragen,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Culturele sector,Musea,Nederlands Fotomuseum,https://www.nederlandsfotomuseum.nl,https://nederlandsfotomuseum.nl/veelgestelde-vragen/,,heuristic,7,"linktekst: ""FAQ"""
Culturele sector,Musea,Belasting & Douane Museum,https://www.bdmuseum.nl,,,none,0,llm: no pick
Culturele sector,Musea,Spoorwegmuseum,https://www.spoorwegmuseum.nl,https://www.spoorwegmuseum.nl/bezoek/veelgestelde-vragen/,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Culturele sector,Musea,Centraal Museum,https://www.centraalmuseum.nl,https://www.centraalmuseum.nl/nl/over-het-museum/faq,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Culturele sector,Musea,Museum Speelklok,https://www.museumspeelklok.nl,https://www.museumspeelklok.nl/praktische-informatie/,,llm,0,Praktische informatie is de meest waarschijnlijke plek voor bezoekersvragen/FAQ; een echte support- of klantenservicepagina ontbreekt.
Culturele sector,Musea,Nederlands Openluchtmuseum,https://www.openluchtmuseum.nl,https://www.openluchtmuseum.nl/nl/veelgestelde-vragen,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Culturele sector,Musea,Kröller-Müller Museum,https://krollermuller.nl,https://krollermuller.nl/faq,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Culturele sector,Musea,Fries Museum,https://www.friesmuseum.nl,https://www.friesmuseum.nl/bezoekinfo,,llm,0,Bezoekinfo is de meest praktische sectie met veelgestelde bezoekersvragen; een aparte support/FAQ-pagina ontbreekt.
