segment,sub_sector,organisatie,url_homepage,url_support,url_product,url_support_method,url_support_score,url_support_note
Onderwijs,Opleiding vergelijken,Springest,https://www.springest.nl/,https://springest.nl/klantenservice,,heuristic,10,"linktekst: ""Klantenservice"""
Onderwijs,Opleiding vergelijken,Leeroverzicht,https://www.leeroverzicht.nl/,,,none,0,llm: no pick
Onderwijs,Opleiding vergelijken,Studiekeuze123,https://www.studiekeuze123.nl/,,,error,0,"load failed: page.goto: Timeout 20000ms exceeded.
Call log:
[2m  - navig"
Onderwijs,Opleiding vergelijken,KiesMBO,https://www.kiesmbo.nl/,https://www.kiesmbo.nl/contact,,llm,0,Geen aparte support/FAQ-sectie aanwezig; Contact is de enige hulp-/ondersteuningspagina.
Onderwijs,Opleiding vergelijken,Keuzegids,https://www.keuzegids.nl/,https://keuzegids.nl/contact/,,llm,0,Geen aparte support/FAQ-pagina aanwezig; contactpagina is de enige hulp-/ondersteuningsoptie.
Onderwijs,Opleiding vergelijken,Opleiding.nl,https://www.opleiding.nl/,https://www.opleiding.nl/cum-laude/veelgestelde-vragen.html,,heuristic,7,"linktekst: ""Lees verder"""
Onderwijs,Opleiding vergelijken,Qompas,https://www.qompas.nl/,https://www.qompas.nl/contact/,,llm,0,Geen aparte support/FAQ-pagina aanwezig; contact is het dichtst bij klantenservice/hulp.
Onderwijs,Universitair,Universiteit van Amsterdam,https://www.uva.nl/,https://www.uva.nl/over-de-uva/contact-en-locaties/contact.html,,llm,0,"Enige support/contactsectie in de lijst; overige links zijn navigatie naar onderwijs/onderzoek, geen specifieke FAQ-pagina aanwezig."
Onderwijs,Universitair,Vrije Universiteit Amsterdam,https://vu.nl/nl,https://vu.nl/nl/over-de-vu/praktische-informatie,,llm,0,Geen expliciete support/FAQ-link aanwezig; 'Praktische informatie' is de meest waarschijnlijke plek voor hulp- en instructie-inhoud.
Onderwijs,Universitair,Universiteit Utrecht,https://www.uu.nl/,https://www.uu.nl/organisatie/praktische-zaken,,llm,0,"Praktische zaken is de meest support/hulp-achtige sectie waar instructie- en uitlegvideo's te verwachten zijn, specifieker dan de algemene contactpagina."
